valid_time,latitude,longitude,Total Precipitation (mm),Evaporation (mm),Surface Runoff (mm),Mean Wave Direction (°),10m U-Component of Wind (m/s),10m V-Component of Wind (m/s),2m Temperature,Mean Sea Level (°C),Sea Surface Temperature (°C),Soil Temperature Level 1 (°C),Soil Type,Soil Water Volume Level 1 (m³/m³),number,Experiment Version,Flood_Occurred
2019-06-01,17.25,82.5,0.011,-5.735e-05,0.0,191.5300155757932,-0.50987244,3.645874,303.15246,100329.72,302.9279268276109,304.92492500000003,1.0,0.041512315,0,1,0
2019-06-01,17.25,82.75,0.0415,-4.675e-05,0.0,191.5300155757932,0.364639285,4.9476318,302.02453,100329.47,302.16553,302.16614000000004,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,83.0,0.052899999999999996,-6.565e-05,0.0,191.5300155757932,0.74354553,5.59313965,302.34095,100326.53,302.36572,302.365355,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,83.25,0.021500000000000002,-0.000103297,0.0,191.5300155757932,1.1356353534999999,5.964721750000001,302.62316999999996,100328.155,302.8462,302.84680000000003,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,83.5,0.0262,-0.000118732,0.0,191.5300155757932,1.45497126,5.947143499999999,302.999145,100331.905,303.21533,303.21497,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,83.75,0.0205,-0.00013649449999999998,0.0,191.5300155757932,1.65126038,5.975463850000001,302.89171999999996,100344.97,303.37842,303.37902499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,84.0,0.010499999999999999,-0.00014846,0.0,191.5300155757932,1.89930725,5.98083495,302.89074500000004,100357.155,303.6411,303.64074500000004,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,84.25,0.0052499999999999995,-0.00014540499999999998,0.0,191.5300155757932,2.12342835,5.7640381000000005,302.92688,100366.345,303.65967,303.66028,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,84.5,0.0042899999999999995,-0.00013549599999999998,0.0,191.5300155757932,2.3138579999999997,5.46130365,302.916135,100376.595,303.4546,303.4552,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,84.75,0.002857,-0.000125021,0.0,191.5300155757932,2.4974517499999997,5.136108350000001,302.862435,100390.095,303.19385,303.19348,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,85.0,0.00429,-0.000114065,0.0,191.5300155757932,2.6082916000000003,4.85534665,302.79211,100405.155,302.99365,302.99427000000003,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,85.25,0.00954,-0.0001158265,0.0,191.5300155757932,2.66004945,4.60681155,302.84583,100419.845,303.06396,303.064575,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,85.5,0.00715,-0.0001059105,0.0,191.5300155757932,2.73085025,4.3919677,302.73839999999996,100432.155,303.05127,303.050905,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,85.75,0.0124,-0.000128269,0.0,191.5300155757932,2.7621002,4.336792,302.8302,100439.72,303.42627,303.42688,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,86.0,0.01,-0.0001377465,0.0,191.5300155757932,2.7157134999999997,4.27380375,302.85462,100450.405,303.53564,303.53625,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,86.25,0.00381,-0.0001410245,0.0,191.5300155757932,2.5965729,4.1400145,302.87317,100458.405,303.53564,303.53528,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,86.5,0.008110000000000001,-0.0001339315,0.0,191.5300155757932,2.4207916,3.8743896500000004,302.866335,100467.28,303.45068,303.45129499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,86.75,0.011399999999999999,-0.000123203,0.0,191.5300155757932,2.2396393,3.51745605,302.817505,100475.845,303.29443,303.29406,0.0,7.800000000000002e-07,0,1,0
